Português	Tupi Antigo
Logo depois que morrerem irão para o céu os que foram assim desse jeito?	O manõ riremẽ serã emonã nungara sóû ybakypene?
Mentiras levantam	Mo'ema kó omopu'ã
"O forro que se casou com uma escrava verdadeira, pensando falsamente ""-eis que esta é forra"", não se casou"	"Mbiaûsube'yma mbiaûsubeté resé omendaryba'e ""-miaûsube'yma kó"" o'îaba'upa, n'omendari"
maldade (lit - qualidade da alma ruim)	angaipaba
De lá do lugar para onde foi fez vir o Espírito Santo	Ebapó o soagûera suí Tupã Espírito Santo mbouri
por meio da oração	tupãmongetá pupé
enfeitando minha cabeça	xe akanga moîegûaka
Eu não tenho anzol	Na xe pindáî
Consola-te muito, enfim, após tua saída da escuridão, da aflição de tua alma	Nde apysy-katu ko'yté pytunusu nde 'anga moingotebẽsagûera suí nde sem'iré
Deleitando-se com as escravas ruins, não quiseram vir aqui	Tapuîpé-poxy mborypa, tupotare'ymi iké
Será que me perdi?	Xe ropá serã?
Até eu vou	Ixé tiruã asó
Amarrai os malditos!	Peîpûá muru!
Podem deixar um do outro?	E'ikatupe o îesuí opo'i?
Com alegria honramos este dia	Tesãîa pupé kó 'ara îaîmoeté
Cheirei-o	Asetun
Lavando a maldade de nossa alma	Oré 'anga poxy reîa
Eles mentem de cara um para o outro	Semo'ẽ, oîobaúpa
Sucedeu-me uma tormenta	O'ar 'yaíba ixébo
Apresentei-o	Arokûab
como retribuição por seu procedimento	sekoagûera repyramo
O que perseguiu o cão de seu próximo	O apixara reîmbaba îagûara remimomosẽgûera
Querendo ser servo de Deus somente	Tupã boîáramo nhõ oîkó-potá
Uma coisa amarga misturaram com vinagre	Mba'e-py'aûpîara kaûĩaîasy resé i monani
O maldito não difere de uma arara	Nd'oîabyî muru arara
"""sob o sono"" da alta noite, nas horas mortas da noite, em que todos dormem"	pysaîekatu ké-gûyrybo
ira que te impregna	nhemoŷrõ nde momungasara
o que está vestido	iî aoba'e
Tu não tens o coração arrebentado de aflição	Tekotebẽ suí nde nhy'ã-boke'ymi
Queimei o campo	Asapy nhũ
Vou à caça	Ka'abo asó
As pedras ficaram-se quebrando pelo meio	Itá oîeká-îeká oîopyterybo
E porventura na hóstia está Jesus Cristo?	A'e serãne hóstia pupé Îesu Cristo rekóû?
Para as coisas que costuma sofrer não tendo paciência	Mba'e o emimborará-tyba supé og osange'ymamo
O vão entre minhas pernas	Xe rakamby
Está alegre, como eu, meu pai tupiniquim	Soryb, xe îabé, xe ruba tupinakyîa
Quem não saberia ter comido algo bom, esquecendo-se da excelência de seu sabor?	Abámo mba'e-katu 'uagûera n'oîkuabi xûé sé katûagûera resé o esaraîamo?
Eu estou de luto	Xe anhangyar
O que é comum é aquela mulher esmagar nossas cabeças	Sekoaba'e kûé kunhã oré akanga i apiti
Fez-te subir por te honrar	Nde rupiri nde moetesápe
Como ages embriagando-te de cauim? Fazes o que não deves, então?	-Marãpe ereîkó kaûĩ suí esabeypó? Ereîkomemûãpe a'ereme?
Em meio de campo repartindo-os	Nhũ-myterype i mbo'îabo
Consolar os aflitos	Oîkotebẽba'e moapysyka
Existe a confissão, remédio portador de cura	Oîkobé îemombe'u, mosanga mûeîrabyîara
o que vai buscar água (à fonte)	ypîasoara
Querendo conhecer seus casamentos antigos	I mendarymana kuaba potá
Para quem a gente reza?	Abá supépe asé îeruréû?
Pu-los em enfiada	Asysybõ
Que afaste nossa maldade	Îandé aíba t'oîpe'a
saída de gente	morosema
cume de casa	okapyra
guará da cara manchada	gûaraobanhana
Ao lado de sua própria mãe a criança está deitada	O sy posé pitanga ruî
Tomaste as coisas de alguém, o objeto do furto de teu próximo ou o que ele esconde?	Ereîarype abá mba'e, nde rapixara mondarõagûera koîpó semimima?
a lei primeira	tekó-ypy
Não vitupereis as pessoas, ó meus filhos, para que tenhais seus bens	Pe poroanga'o umẽ, xe ra'yr-y gûé, ta perekó i mba'e
o que está neste mundo	ikó 'ara pora
Eu tenho olheiras	Xe resagûyrumbyk
Para uma grande escuridão, na verdade, iriam	Pytunusupe émo i xóûmo
Ao vir eu, encontrei o que guardara	Xe rureme, asobaîtĩ xe remierekopûera
Mas não se esforçam esses por aprender sempre?	N'osa'angi-tep'akó nhembo'e ko'arapukuî?
Em seu ventre Deus tomou seu próprio corpo	Sygépe o eterama Tupã tari
Vem para nos arrancar o visgo	Eîori oré mongoka
Que é, porventura, daquele?	Umã-pakó? Umã-takó? ou Umã-pakó akûea?
Sob minhas mãos tenho os moços pecadores, os velhos crescidos	Xe pó gûyrype arekó kunumĩgûasu-angaîpaba, tunhãba'e-kakuaba
Serão bons, doravante, os que eu guardo de costume	I angaturam, ko'yré, xe remiarõ îandune
Esse, somente, é de fato teu nome?	Aîpó nhõ-pipó nde rera?
Não se arrependeram alguns de seus vitupérios?	Nd'oîmoasyîpe amõ o nhe'engaibagûera?
o que é azul, o que é verde, o que é roxo	sobyba'e
Sua vida bondosa tendo, nossa alma regozija-se	Sekó-katu rerekóbo, îandé 'anga îekosubi
Adversária da morte	Te'õ rupîara nhẽ
Eis que aqui estou	Aín
É bonita vossa terra?	I porangype pe retama?
Eu tenho os buracos das orelhas perdidos (isto é, não ouço nada)	Xe apysakûá-kanhem
Evocando a morte de meu Senhor	xe îara re'õ renõîa
Irei hoje à casa depois que tu vieres	Asó kori okype nde rur'iréne
Encosto-me nele	Aîekok sesé
Depois disso, os malvados estão alta noite atacando pelas costas os maridos das mulheres	A'e ré, moxy rekóû pysaîé kunhã mena kupea'pa
Separamo-nos uns dos outros	Oroîa'ok oré îosuí
São Tiago, primo de Jesus Cristo, Apóstolo, entregou sua cabeça e sua vida	S Tiago, Îesu Cristo ri'yra, Apóstolo, o akanga o ekobé me'engi
Por longo tempo ele se deteve	Ymûanĩ ahẽ rekóû
Prova que o levas!	Esa'angyne serasóbo
Que nos renovemos, repelindo completamente os costumes antigos	T'îanhemopysasu, tekopûera pe'apapa
Ladroeiras, palavras más sobejavam-te, danças, diversões, vômitos, bebedeiras, guerras	Mondarõ, nhe'engaíba nde resemõ, moraseîa, nhemoryba, gûe'ena, ka'uaíba, marana
Compadeceste-te de tua mãe e de teu pai?	Eresaûsubápe nde sy, nde ruba?
Quem são os que rogam a Deus por nós?	Abá-abápe asé resé Tupã mongetasaramo sekóû?
Ser chamado ladrão é característica do homem mau	Sereroĩmbyra abá-mondá apŷabaíba rekoaba é
Quem, hoje, é como eu? Irra, ninguém!	Abápe kori xe îá? Erĩ, aani!
Não tenho pena das coisas (isto é, sou pródigo)	N'asaûsubari mba'e
com ele	ahẽ pabẽ
Os temiminós, de dia, confessam seus pecadilhos, somente	Temiminõ 'arybo nhẽ oîmombe'u o angaîpá-mirĩ anhõ
Hoje eu deveria ir	Kori temone asómo
E vosso rei não tem riquezas?	A'epe n'oerekóî pe rubixaba ma'e?
E onde está aquele limbo, morada das crianças que não foram batizadas?	Umãmepe a'e putunusu pitanga nhemongaraibypyre'yma rekoaba rekóû?
Eu, Tatapitera, inflamo os antigos ódios	Xe, Tatapytera asapy nhemoŷrõmbûera
Importuna-me bem, irritando-me muitíssimo, aquela lei nova	Xe moaîu-marangatu, xe moŷrõetekatûabo, aîpó tekó-pysasu
Eles bem sabem que não mudarão?	Oîkuá-katupe i îekûaboke'ymagûama?
Açoito gente frequentemente	Xe poronupã îaby
Não faz efeito, às vezes, nosso remédio, fazendo avivar mais a doença, às vezes por sua ineficácia em afastá-la	Sarûab amõme asé posangygûaba, mara'ara moîerobu-bé-uká, amõme i pe'arunga o arûabíreme
Deverias ter sabido antes do teu agir assim	Ereîkuá ranhẽ meémo emonã nde rekorama
Portanto, corrige-te logo, antes que a morte te surpreenda	Emonãnamo enhenonhen esapy'a, te'õ nde resapy'a e'ymebé
Mencionaste o nome de alguém para o padre?	Ereîmombe'upe abá rera abaré supé?
Eu sou muito manchado	Xe rabará-barab
Então foi?	Osó-tepe ra'e é?
A mãe de Deus, senhora desta aldeia, não queirais apresá-la	Tupã sy, kó tabyîara, na pemoembiá-potari
Inventei-o	Aîypymonhang
como uma luz de fogo	tatá-endy îabé
Dá também Deus neste mundo algumas coisas aos que são bons?	Oîme'eng-y bépe Tupã ikó 'ara pupé mba'e amõ i angaturamba'e supéno?
No meio da terra fazendo um fogo inextinguível, que não se apagará	Yby apyterype tatá-amororé ogûeba'erame'yma monhanga
Ouve	Esendu
Um pau me desconjuntou o pé	Xe py-mongaraû ybyrá
Toma-nos a dianteira sempre o diabo	Îandé rokesỹ memẽ anhanga
"""Ah, coitadinho de mim"" é o que é ouvido aí"	"""Xe poreaûsubeté'ĩ mã!"" sendubypyramo a'epe"
Dizendo algo, digo asneiras	A'é tenhẽ marã gûi'îabo
botão da roupa	aoba potãîa
Em mim confiam	Xe resé oîerobîá
Eu me derreti	Xe ryku
linha grossa de pescar	pindasã-muku
Eis-me aqui, eis que aqui estou	Aîkó
Igualmente se preocuparão em fazer seus filhos estarem na virtude?	Oîoîabenhẽpe tekokatu resé o a'yra moingoagûama ri i nhemosaînanyne?
Cobriste tua esposa quando sucedia o sangue dela (isto é, na sua menstruação)?	Ereîopykype nde remirekó, sugûy sekóreme?
Segundo o julgamento de nós por Deus	Tupã îandé rekomondykaba rupi
ficar pondo comida, aos poucos, na boca de (pex, na boca de um doente)	îuru-py-pyk
Trouxe-as para a rainha	Arurĩ reîa supé
Fiquei-o contando	Aîkuabe'u-be'u
Ele está feliz	Soryb
concavidade da nuca, depressão na parte inferior da nuca	atuá-pyko'ẽ
Apenas não me fez morrer	Sãî na xe momanõî
Amarra tua rede de dormir ao lado de mim	Eîotĩ nde kesaba xe porupi
Beijou suas faces, nele tocando também?	Osetobapé-pytépe erimba'e, sesé obyka bé?
Contaste a maledicência de alguém, sendo mexeriqueiro?	Ereîmombe'upe abá marã'eagûera nde mba'epûeramo?
Finquei-me, fiz pé firme	Aîeatyká
São um único e mesmo Deus esse Deus-Pai, Deus-Filho e Deus-Espírito Santo?	Oîepé Tupã memẽpe a'e Tupã-Tuba, Tupã-Ta'yra, Tupã-Espírito Santo?
Não me enternecendo eu pelo que morreu para me resgatar	Xe repyramo omanõba'epûera ri xe akyre'ymamo
Estou-me agachando (parado)	Anhemombeb gûitena
Enfeitando-se, querendo que as pessoas o desejem	Oîemongatyrõmo, abá o potara potá
A gente não come carne de caça no dia de jejum	Nd'o'uî asé so'o îekuakuba 'ara pupé
Eu sobrei	Xe rembyr
Eis aqui também minhas garras	Kó bé xe pûapẽ
Tornou-te mais formosa que ela	Nde moaysó-eté i xuí
Como um galo te deitas	deitar-se - Gûyrá-sapukaîa îabé ereîetu'u
E também as esposas de seus filhos	Ta'y-taty abé
Teus pecados estando a aumentar, com efeito	Nde rekomemûã rumõ-rumõmo nhẽ
Por isso mesmo todos os homens emagrecerão	Nd'e'i te'e opá abá angaîbaramo-ne
Que reparta teu filho um pouquinho de virtude conosco	T'oîmoîa'ok nde membyra tekokatu'ĩ amõ orébe
Esfalfei-o	Aîmoa'ypab
Não temos a ver com isso	Nd'oroîkóî aîpó resé
Tupiniquins, habitantes daqui, espiões inimigos	Tupinakyîa, keygûara, tĩapyra moroupîara
E os rapazes que perseguem mulheres, querendo escravas bem nas casas de cristãos?	A'epe kunumĩgûasu kunhã oîmomosemba'e, miaûsuba potá nhẽ karaibokype-katu?
Princípio da compaixão	Moroaûsubara 'yba
Como modo de honrar sua vinda, comemoramos este dia	Turagûera moetesabamo kó 'ara îamoeté
Não se hão de esvanecer nem um pouco minhas palavras acerca daqueles futuros fatos	N'i rambûé-mirĩî xûé aîpó tekorama resé xe nhe'engane
Basta! Eu estou muito contente	Aûîé! Xe rorybeté
barrancos	yby'ã-by'ama
Honra a gente também outros dias, neles não trabalhando	Oîmoeté bé asé amõ amõ 'ara, i pupé oporabykye'yma
Santa Maria está supondo a aproximação de seu parto	Santa Maria o membyrá-kakara omo'ã-mo'ang
Não tem limite, não tem fim	N'i sykabi, n'i papabi
Eu sou pequeno! Engolir-me-á hoje, como de costume	Xe mirĩ! Xe mokõ kori, îandune
Fazemos passar as flechas dos malditos, diante deles esquivando-nos	Îamongûá moxy ru'uba, i xupé îaîemoîtỹamo
por ocasião de meu retorno	xe atimandápe
Desfolhei-a	Aîpo'o
castrado	sapi'a'okypyra
cova de sepultura	Tyby-kûara
Vai neste dia	Osó kó 'ara pupé
Ao passar a quarta-feira de cinzas sagradas começa o grande jejum, chamado Quaresma	Quarta-feira tanimbukaraíba rasápe, îekuakupabusu Quaresma 'îaba nheypyrungi
Toma mais outro	Eîar-y bé amõ
o que eu como costumeiramente	xe remi'utyba
Sossegai longe de mim senão vos queimo	Penhemongatu mamõ xe suí n'opoapyî
Eu lamento-me, de costume (isto é, reclamo de qualquer coisa)	Xe mba'e-moasy îá
Em terra não os mandando transformar	Ybyramo i moingoukare'yma
Suas túnicas ficando a rasgar	O aobusu mondoró-ndoroka
a alma depois que sai do corpo	angûera
de dois em dois, dois a dois	mokõ-mokõî
São más essas folgadas	I angaîpá kó kena'ĩ
Aqui é minha casa	Iké xe roka
Estando de cor preta	Moroún oîkóbo
O jejum difere de não comer carne	Îekuakuba oîkoé so'o gûabe'yma suí
Arrombei-o	Aîmonarang
Qual outro é conhecedor senão ele?	Ma'e-kugûapara aé-amẽ ahẽ?
Eu soluço	Xe îeîok
Mas os doentes a comem, bem certamente	Mba'easybora-te aîekatu i 'uû
Nós somos muitos	Oré anangatu
lua minguante	îasy-angaîbara
Amando tua grande beleza	Nde porãngatu raûsupa
As moças habitantes das aldeias escondo-as em meu coração	Kunhãmuku taba pora xe py'a pupé anhomim
Suportando a escuridão, estamos muito aflitos	Putunusu porarábo, oroîkotebẽngatu
Com algum neto seu não pode ninguém se casar	O emiarirõ amõ resé nd'e'ikatuî abá omendá
Tenho-o como meu par para dança	Xe andaramo arekó
tirante a vermelho	pyrã-mbyryb
Nós nos igualamos um ao outro	Oronhomoîoîá
Ele tomou os traços dos olhos de seu pai	Og uba resá ahẽ ogûar
As que dizem coisas más	Marã e'îara
Apanhai-o bem hoje, dele tomando conta	Peîpysy-katu kori sesé pemaînãngatûabo
Entram grandes espinhos, espetando sua cabeça, furando-a toda	Oîké îugûasu, i akanga kutuka, opá i mombuka
Atravessar a água elimina a sujeira dos pés	Y aé rasaba mby ky'a îaîmomemûã
E a aproximação do parto de uma grávida não é também motivo de se ter medo?	- A'epe muru'apora membyrasy kakara na nheangûaba bé ruã?
Qual é a causa da sujeira de nossa alma?	Mba'epe asé 'anga ky'asabamo?
Acaso Deus tem vista aguda para me ver?	Sesapysó a'upe é Tupã xe repîaka?
mais para cá	kokoty bé
Hás de confessar primeiro tua atração por eles O que diz respeito aos casados, depois	mendasara resendûara tekori
Ele é o anjo que encomenda o enforcamento	Karaibebé a'e, moroîubyka pûaîtara
fundura dele	typy
Não há modo de contá-los	N'i papasabi
Toma logo meu coração e minha alma como coisas tuas	Xe py'a xe 'anga eîar nde mba'eramo taûîé
Ó mesquinho repositório de muitíssimas coisas más!	Mba'e-poxy-katupabẽ ruru-a'ub-y gûé!
Este é o meu princípio	Kó xe ypy
Não perdoam, não são afáveis	N'i nhyrõî, n'i îerekûabi
Arranco o amargor do sal	Aîukyrakok
Este homem trago aqui para que o reconheçais	Ikó abá arur iké ta peîkuab
bolota de sal	îukyrapu'a
Eu estou animoso	Xe rakubor
Por acaso estava o maldito com a cintura fendida, balançando?	I ku'a-bok serã moxy oatimunga?
Arrepiando-te, o desejo sensual aumentou teus olhos?	Enhemopiringa, moropotara nde resá moîo'arype?
vasilha de sal	îukyruru
Longamente estava nosso pai primeiro chorando	Ipuku erimba'e îandé rubypy rekóû îase'o monhanga
Eu sou risonho	Xe nhearõ
Tu foste chocarreira, estando deitada sobre teu próximo?	Nde arũaípe nde rapixara 'arybo eîupa?
Todas as nuvens que caem do céu cobrirão a terra	Yby opá ybytinga ybaka suí o'aryba'e i aso'iûne
casa assobradada (lit, casa alta)	okybaté
Não fui de modo algum	N'asó-angáî
Mas eu, tendo saudades de ti, quero-te muito bem	Xe-te, nde repîaka'upa, oroamotá-katu
Estejamos em união	Oîepegûasu t'îaîkó
Escarneceste de alguma pessoa?	Ereîoîaîpe abá amõ?
Vou frequentemente	Asó py'i
poucas vezes	amõamõme é
É bonita esta igreja, tendo muitos adornos!	I porang kó tupãoka, îegûakabetá rerupa!
Como será que um habitante do inferno viveria neste mundo?	Marãeté'ĩ ra'umope amõ Anhanga ratá pora rekóû ikó 'ara pupé?
Estamos entrecruzados	Oroîekunasab
É muito, com efeito, o grande zelo	Setá nhẽ kunu'umusu
Ia de costume	Asó amẽîepi
O que tem a bem-aventurança é o que não agride	Tekokatueté rerekoara onherane'ymba'e
Abre a porta de tua casa	Esokendabok nde roka
caminho da (aldeia) Carioca	Kariîopiara
farinha puba, farinha d'água, ou seja, de mandioca curtida, que se espremia no tipiti e que se passava pela urupema	u'i-puba
Nomeia tudo	Esenõî mbá
Transgrediria o homem a palavra de Deus assim os conhecendo?	Oîabypemo abá Tupã nhe'enga emonã sekokuapa?
Tu vives? (Fórmula de saudação a quem chega)	-Endépe ereîkó?
Por isso, na verdade, é que a gente detesta o pecado mais que a morte?	Nd'e'i te'e ipó asé pecado moabaetébo te'õ sosé?
Maldizendo a lei de Deus	Tupã rekó momburûabo
Mas olha primeiro! Olha cá! (como que mostrando alguma coisa notável)	Ema'ẽ-te ranhẽ!
este outro (e não ele)	koba'e-te
Eu tenho hérnia	Xe rapi'agûasu
Pegou-se firmemente sua roupa com que ele foi castigado às suas chagas?	Oîar-atã serã i aoba i nupãsagûera i moperé-perebagûera resé?
Coisa muito boa é uma grande bebedeira, ficar vomitando cauim	Mba'eeté ka'ugûasu, kaûĩ moîeby-îebyra
Hei de me aproximar de minha futura e verdadeira vida	Arokakar xe rekobé-etérama re'ĩ
Ando à caça (lit, estou pelas matas)	Ka'abo aîkó
Eu tenho o coração palpitante	Xe py'a-tytyk
Vamos para assaltá-la, atacando pelas costas a mãe de Deus	Îasó sesé îapu'ama, Tupana sy kupe'apa
Como o revolutear de um urubu sobre coisas fedorentas	Urubu mba'enema 'arybo nhemoîereba îabé
Maior que esta casa	Kó oka sosé
Pode a gente trocar seu próprio nome ao receber aquele?	E'ikatupe asé aîpoba'e rasápe ogûera rekobîarõmo?
Tenho desgosto por o ter levado	Arasó tieté a'é
Eu estou muito leve nas minhas coisas	Xe rekó-apepu-pepu
com tua realeza temível	nde reîabaîté pupé
Voltou a viver dos que morreram	Omanõba'epûera suí sekobé-îebyri
O próprio Pedro mandou-me fazer proceder assim	Pedro aé emonã xe moingó-ukar
Quantas vezes disse isso?	Mbobype aîpó i 'éû?
Segundo a vontade de Deus	Tupã remimotara rupi
Como as coisas devagar	A'é umanĩ mba'e gûabo
Surpreendeu-me ele, vindo	Xe resapy'a ahẽ, oú
Ensoberbeci-me acerca de mim mesmo	Aîerobîá xe îoesé
Em tuas mãos nossa alma está	Nde pópe oré 'anga ruî
Oxalá Deus mandasse os cadáveres de toda parte falarem o que terá sido o seu enterro	Omonhe'enguká temõ Tupã te'õmbûera kóbo i tỹmbûerama
O que batizou não pode casar-se com aquela que batizou	Oporoerokyba'epûera nd'e'ikatuî omendá o emierokûera resé
